Group 4
Lat Lon Depth
-34.74 73.72 10.0
-34.32 73.39 16.0
-34.74 72.97 28.0
-31.82 72.73 35.0
-33.98 72.34 30.0
-34.00 72.34 33.0
-34.23 72.33 15.0
-33.94 72.32 35.0
-34.01 72.31 24.0
-34.01 72.31 30.0
-34.15 72.30 9.0
-33.96 72.29 35.0
-33.93 72.26 35.0
-34.25 72.20 21.7
-33.86 72.05 68.8
-33.64 72.00 27.0
-33.62 71.99 25.0
-33.68 71.92 25.6
-34.73 71.88 32.0
-34.38 71.86 35.0
-34.72 71.85 27.0
-32.82 71.84 38.0
-33.60 71.83 30.0
-34.72 71.83 39.2
-34.75 71.82 39.0
-34.71 71.80 35.0
-34.72 71.76 43.0
-33.80 71.75 38.0
-34.76 71.72 47.0
-32.57 71.61 35.0
-34.66 71.53 46.0
-34.71 71.47 47.0
-34.66 71.36 64.0
-31.85 70.23 101.0
-31.30 68.28 104.0
-31.68 67.97 94.0
