Group 1
Lat Lon Depth
-17.84 66.64 269.0
-21.11 67.23 145.0
-18.98 67.39 142.0
-19.11 67.47 190.0
-21.16 68.13 92.0
-21.26 68.20 117.0
-21.09 68.21 139.0
-20.83 68.33 132.0
-21.09 68.35 109.0
-21.03 68.39 117.0
-21.14 68.53 97.0
-20.43 68.64 111.1
-20.28 68.70 116.7
-18.89 68.75 131.0
-20.55 68.80 105.0
-21.17 68.91 123.0
-18.07 68.99 146.0
-18.88 69.09 107.0
-18.66 69.14 104.0
-18.08 69.26 108.0
-18.08 69.32 136.0
-18.97 69.46 86.0
-17.04 69.52 139.6
-18.24 69.66 132.5
-18.06 69.68 124.3
-19.55 69.74 35.0
-17.02 70.03 95.0
-20.38 70.17 35.0
-17.34 70.23 81.0
-19.92 70.36 34.0
-20.04 70.49 38.0
-18.05 70.53 37.0
-18.41 70.71 34.8
-18.34 71.21 45.0
-17.30 72.59 36.3
