Group 3
Lat Lon Depth
-23.27 70.66 35
-21.81 70.20 26.8
-22.84 68.99 95
-22.70 68.91 35.9
-22.86 68.91 96.5
-22.63 68.83 114.1
-22.27 68.80 100.9
-21.96 68.80 111
-22.53 68.76 73
-23.29 68.74 97.3
-22.70 68.68 112.2
-22.25 68.67 95.2
-21.79 68.64 144.6
-22.88 68.52 99
-23.07 68.51 114.7
-22.06 68.51 107.2
-22.78 68.46 137.2
-22.33 68.41 98.1
-22.23 68.33 114
-22.88 68.32 35
-22.02 68.32 112.9
-21.87 68.24 92
-22.07 68.18 120
-21.81 68.16 95
-21.86 68.07 102.7
-22.30 67.77 204.8
-22.06 67.48 122
-22.73 67.41 231.5
-21.80 67.16 185.7
-22.05 66.76 163
-22.84 66.65 193.6
-23.23 66.56 238.9
-23.02 66.32 208
-22.65 66.19 260.5
-22.73 66.14 232.2
-21.95 65.76 246.6
