Group 5
Lat Lon Depth
-25.02 72.10 35
-25.68 70.67 49.5
-25.62 70.59 17
-24.90 70.30 38.8
-24.19 70.25 28
-24.69 69.82 49
-23.89 69.41 96.9
-23.85 69.18 82
-23.90 68.53 104.3
-23.74 67.71 235.8
-24.06 67.60 220
-23.66 67.35 251.8
-24.21 67.18 217.1
-24.29 67.10 157.6
-24.19 67.03 192
-24.43 67.03 160.9
-24.25 66.90 172
-25.80 66.88 43.6
-25.82 66.81 63.8
-24.08 66.78 194
-25.81 66.74 10
-24.06 66.70 178.4
-25.87 66.66 35
-23.87 66.66 203.2
-24.05 66.63 190.9
-25.71 66.62 10
-23.65 66.57 200.8
-23.83 66.52 149
-25.02 65.75 24.4
-24.87 65.60 10
-24.92 65.53 10
-24.65 65.49 61.4
-24.86 65.42 39.4
-24.69 65.39 24
-24.80 65.23 35
-23.76 64.96 18
